Підрозділ A:
Робітник: 1, Днів: 24, Зарплата: 960, Податок: 192
Робітник: 2, Днів: 13, Зарплата: 520, Податок: 104
Робітник: 3, Днів: 16, Зарплата: 640, Податок: 128
Робітник: 4, Днів: 31, Зарплата: 1240, Податок: 248
Робітник: 5, Днів: 13, Зарплата: 520, Податок: 104
Робітник: 6, Днів: 22, Зарплата: 880, Податок: 176
Робітник: 7, Днів: 6, Зарплата: 240, Податок: 48
Робітник: 8, Днів: 26, Зарплата: 1040, Податок: 208
Робітник: 9, Днів: 0, Зарплата: 0, Податок: 0
Робітник: 10, Днів: 21, Зарплата: 840, Податок: 168
Робітник: 11, Днів: 20, Зарплата: 800, Податок: 160
Робітник: 12, Днів: 22, Зарплата: 880, Податок: 176
Робітник: 13, Днів: 14, Зарплата: 560, Податок: 112
Робітник: 14, Днів: 24, Зарплата: 960, Податок: 192
Робітник: 15, Днів: 21, Зарплата: 840, Податок: 168
Всього відпрацьовано днів: 273

Підрозділ B:
Робітник: 1, Днів: 24, Зарплата: 960, Податок: 192
Робітник: 2, Днів: 13, Зарплата: 520, Податок: 104
Робітник: 3, Днів: 16, Зарплата: 640, Податок: 128
Робітник: 4, Днів: 31, Зарплата: 1240, Податок: 248
Робітник: 5, Днів: 13, Зарплата: 520, Податок: 104
Робітник: 6, Днів: 22, Зарплата: 880, Податок: 176
Робітник: 7, Днів: 6, Зарплата: 240, Податок: 48
Робітник: 8, Днів: 26, Зарплата: 1040, Податок: 208
Робітник: 9, Днів: 0, Зарплата: 0, Податок: 0
Робітник: 10, Днів: 21, Зарплата: 840, Податок: 168
Робітник: 11, Днів: 20, Зарплата: 800, Податок: 160
Робітник: 12, Днів: 22, Зарплата: 880, Податок: 176
Робітник: 13, Днів: 14, Зарплата: 560, Податок: 112
Робітник: 14, Днів: 24, Зарплата: 960, Податок: 192
Робітник: 15, Днів: 21, Зарплата: 840, Податок: 168
Робітник: 16, Днів: 24, Зарплата: 960, Податок: 192
Робітник: 17, Днів: 30, Зарплата: 1200, Податок: 240
Робітник: 18, Днів: 12, Зарплата: 480, Податок: 96
Робітник: 19, Днів: 12, Зарплата: 480, Податок: 96
Робітник: 20, Днів: 18, Зарплата: 720, Податок: 144
Всього відпрацьовано днів: 369

